game_id,season,week,home_team,away_team,p_home_model,p_away_model,home_prob_pct,away_prob_pct,winner_pred,confidence,pred_home_score,pred_away_score,pred_margin,pred_total,consistency_flag
2025_02_TB_HOU,2025,2,HOU,TB,0.8897941,0.11020589,89.0,11.0,HOU,0.7795882,14.3,18.7,-3.3,33.0,DISAGREE
2025_02_NE_MIA,2025,2,MIA,NE,0.11070066,0.88929933,11.1,88.9,NE,0.77859867,13.2,23.0,-10.9,36.2,
2025_02_ATL_MIN,2025,2,MIN,ATL,0.1143452,0.8856548,11.4,88.6,ATL,0.7713096,2.8,24.0,-22.4,26.8,
2025_02_SEA_PIT,2025,2,PIT,SEA,0.11447048,0.8855295,11.4,88.6,SEA,0.77105904,9.2,27.7,-19.7,36.8,
2025_02_LAC_LV,2025,2,LV,LAC,0.11453308,0.88546693,11.5,88.5,LAC,0.77093387,-0.6,19.2,-21.0,18.5,
2025_02_LA_TEN,2025,2,TEN,LAR,0.114759035,0.885241,11.5,88.5,LAR,0.77048194,23.0,32.3,-10.4,55.3,
2025_02_CLE_BAL,2025,2,BAL,CLE,0.8849607,0.11503929,88.5,11.5,BAL,0.7699214,28.0,9.8,19.4,37.8,
2025_02_WAS_GB,2025,2,GB,WAS,0.88476765,0.11523235,88.5,11.5,GB,0.7695353,24.4,13.1,12.5,37.4,
2025_02_BUF_NYJ,2025,2,NYJ,BUF,0.115240864,0.8847591,11.5,88.5,BUF,0.76951826,0.2,24.8,-25.7,25.0,
2025_02_PHI_KC,2025,2,KC,PHI,0.11532739,0.88467264,11.5,88.5,PHI,0.7693452,9.7,12.5,-4.0,22.2,
2025_02_CHI_DET,2025,2,DET,CHI,0.88418275,0.11581725,88.4,11.6,DET,0.7683655,38.0,18.0,21.1,56.1,
2025_02_CAR_ARI,2025,2,ARI,CAR,0.8840462,0.1159538,88.4,11.6,ARI,0.7680924,18.1,17.1,2.1,35.2,
2025_02_NYG_DAL,2025,2,DAL,NYG,0.11697773,0.88302225,11.7,88.3,NYG,0.76604456,31.0,37.4,-7.6,68.4,
2025_02_DEN_IND,2025,2,IND,DEN,0.11719517,0.8828048,11.7,88.3,DEN,0.7656097,21.1,24.1,-4.2,45.2,
2025_02_JAX_CIN,2025,2,CIN,JAX,0.2990753,0.7009247,29.9,70.1,JAX,0.4018494,22.6,28.3,-6.3,50.9,
2025_02_SF_NO,2025,2,NO,SF,0.41345203,0.586548,41.3,58.7,SF,0.17309594,20.8,30.1,-9.6,50.9,
